sentence,estimate
کرت پور کی مجموعی آبادی افراد پر مشتمل ہے,0.13536875864817147
فلٹن نیو یارک کا رقبہ مربع کیلومیٹر ہے ہے,0.11149272649431939
نارتھ ناظم آباد ریلوے اسٹیشن پاکستان میں واقع ہے۔,0.10907621392716997
فتح شاہ پور ہالٹ ریلوے اسٹیشن پاکستان میں واقع ہے,0.08662825526553514
اسکین صفحہ نمبر 84 : کتاب ص 84 : ٹائپنگ مکمل از نایاب,0.08551786660417837
اسکین صفحہ نمبر 86 : کتاب ص 86 : ٹائپنگ مکمل از نایاب,0.08480201099828195
گنتی میں اسے تین سو نوے بولا جاتا ہے۔,0.08146391226152504
گنتی میں اسے سات سو چھیانوے بولا جاتا ہے۔,0.07790178586983754
گنتی میں اسے سات سو تینتالیس بولا جاتا ہے۔,0.07726882926774233
اسکین صفحہ نمبر 253 : کتاب ص 253 : ٹائپنگ مکمل از,0.07630882114262531
گنتی میں اسے سات سو پینسٹھ بولا جاتا ہے۔,0.07569712593752811
اللہ آپ کو جلد صحت کاملہ عطا فرمائے آمین,0.07518110805928177
اسکین صفحہ نمبر 55 : کتاب ص 60 ٹائپنگ مکمل از شمشاد,0.07042709920392248
گنتی میں اسے چار سو چوراسی بولا جاتا ہے۔,0.07021243799121729
منڈی رحمی شاہ ریلوے اسٹیشن پاکستان میں واقع ہے,0.06792817247096135
فضل الرحمن کو آخری دفعہ پایا گیا : جنوری 25 ، 2011,0.06767625330645748
رسول اللہ صلی اللہ علیہ و علی آلہ وسلم نے فرمایا:,0.06515471470693285
انڈین پریمئیر لیگ پانچواں میچ چنائے سپر کنگز بمقابلہ ممبئی انڈینز,0.06507004091093499
گنتی میں اسے ایک ہزار اٹھتر بولا جاتا ہے۔,0.06472028873912751
اسکین صفحہ 84 : کتاب ص 166 : ٹائپنگ مکمل از محمد امین,0.06427230114518673
سمہ سٹہ جنکشن ریلوے اسٹیشن پاکستان میں واقع ہے۔,0.06391162357487344
اسکین صفحہ : 171 کتاب ص 65 ٹائپنگ مکمل از مقدس,0.06377674338628066
گنتی میں اسے ایک ہزار ستانوے بولا جاتا ہے۔,0.0622121499064096
مانو کو آخری دفعہ پایا گیا : جون 30 ، 2008,0.061547331185183435
گنتی میں اسے نو سو انہتر بولا جاتا ہے۔,0.059995753519520696
شاہدہ اکرم کو آخری دفعہ پایا گیا : جون 2 ، 2010,0.058414170963553
گنتی میں اسے آٹھ سو سڑسٹھ بولا جاتا ہے۔,0.05802084131034971
ناز کو آخری دفعہ پایا گیا : دسمبر 13 ، 2008,0.05747543810821565
جلو جو چنرڈ ریلوے اسٹیشن پاکستان میں واقع ہے۔,0.05595970032315405
گنتی میں اسے آٹھ سو نوے بولا جاتا ہے۔,0.05530302882699931
نوری لال ہالٹ ریلوے اسٹیشن نوری لال میں واقع ہے,0.0535331177277617
ڈاکٹر طاہر القادری شیخ الاسلام ڈاکٹر محمد طاہر القادری نے کہا ۔,0.05276601188756974
گنتی میں اسے ایک سو سات بولا جاتا ہے۔,0.05232978487848302
ریاض آباد ریلوے اسٹیشن ریاض آباد میں واقع ہے,0.051836506981082255
شیئر کرنے کے لئے بہت شکریہ طارق شاہ بھائی,0.05163726640475623
راجہ عبدالرحمن کو آخری دفعہ پایا گیا : جنوری 27 ، 2014,0.050533805379712006
اک انسان کو آخری دفعہ پایا گیا : جولائی 17 ، 2011,0.04823456540243963
گوجرانوالہ ریلوے اسٹیشن پاکستان کے شہر گوجرانوالہ میں واقع ہے۔,0.04788244120678216
فالکن کو آخری دفعہ پایا گیا : جون 1 ، 2010,0.04758131961170909
اسکین صفحہ 191 : کتاب ص 390 : ٹائپنگ مکمل از شمشاد,0.046949646752606745
پاکستان ٹیلی وژن نیٹ ورک مندرجہ ذیل چینل نشر کرتا ہے۔,0.04666400058682612
اس کے لیے مندرجہ ذیل سافٹ ویئر کی ضرورت ہوتی ہے:,0.04663238739080142
گنتی میں اسے چار سو بہتر بولا جاتا ہے۔,0.04623981795726991
میری طرف سے بھی بہت ساری مبارک باد قبول ہو,0.04604946518167904
مستونگ روڈ ریلوے اسٹیشن مستونگ روڈ میں واقع ہے,0.045418039895737825
پسندیدگی کے لئے آپ سب کا بہت بہت شکریہ,0.04499290074512637
گنتی میں اسے ایک سو تین بولا جاتا ہے۔,0.0449115624962816
"""جاننے کے لئے لاگ ان رہیے """" اردو محفل """" پہ""",0.04180313296714991
وارث صاحب خوبصورت کلام شیئر کرنے پر آپ کا شکریہ,0.041266164890505226
بہترین فرائیڈ چکن کے لیے اور حمص کے لیے بھی,0.04056964615497511
حضرت زینب رضی اللہ تعالی عنہا بنت ابی معاویہ,0.04000106608761879
جس کا مطلب ہے کہ یہ شہر چلایا گیا ہے۔,0.0391415486077495
انڈیا نے اپنی پہلی اننگ میں 279 رنز بنائے,0.03829557297596196
خلعت فاخرہ انہوں نے اپنے لئے چھپا رکھی ہے,0.03799747858942326
بنیادی طور پر یہ معاشیات کی ایک اہم شاخ ہے,0.03790702841188964
مجموعہ 75 اوورز میں تمام وکٹوں کے نقصان پر 284,0.037803420444144274
سودہ بنت زمعہ ازواج مطہرات میں سے ایک ہیں۔,0.03776850363737274
میرا خیال ہے انٹر نیٹ ہی بہتر رہے گا,0.03750933471031836
فیس بک کی جانب سے جاری کیا گیا اشتہار ملاحظہ کیجئے,0.037333365773243005
اسے منطقی پروگرامنگ سکھانے کے لیے بھی استعمال کیا جاتا ہے۔,0.03697968142434763
بعد میں 1970 ء میں قومی اسمبلی کے رکن منتخب ہوئے۔,0.0360526399366378
یہ سوفٹ وئیر ڈاون لوڈ کر لیا ہے میں نے,0.03586441786814255
ولی کی شاعری مے ں سراپا نگاری بدرجہ اتم موجود ہے۔,0.03572008658630679
فلک شیر بھائی آپ کو بھی یونہی لگ رہا ہے کیا,0.03551853354749804
الحمد للہ آج مندرجہ ذیل ابواب پوسٹ ہو گئے ہیں,0.035434669282531556
اللہ آپ کو بھی تندرستی عطا فرمائے اور برکتوں سے نوازے,0.03509843975901863
انھیں 1959 میں کیمیاء کو نوبیل انعام دیا گیا۔,0.03487250794048171
حضور صلی اللہ علیہ وآلہ وسلم کے عصا مبارک سے نشانات,0.0347623356224489
نیوزی لینڈ ورلڈ ٹی ٹوئنٹی کوالیفائر دبئی 11 بجے صبح,0.03472195737890189
ان میں رشی آریائی فکری خطوط کی نمائندگی کرتے ہیں۔,0.033751967399982576
بہت شکریہ @ قرۃ العین اعوان جیتی رہو خوش رہو,0.03348682261265644
حضرت محمد رضی اللہ عنہ بن طلحہ رضی اللہ عنہ,0.03298884036368328
خدا کا نام جیتے ہیں اور اپنا کام کرتے ہیں,0.032912158653411086
"""انہوں نے اس پر اپنی کتاب """" تلبیس ابلیس """" میں لکھا ہے""",0.03286070849642642
گنتی میں اسے نو سو دو بولا جاتا ہے۔,0.032820853255230195
[ ریکارڈز ] سب سے زیادہ اننگز کھیلنے والی اوپننگ جوڑیاں,0.03253649779485016
دہلی، ہریانہ، پنجاب، ہماچل پردیش، جموں و کشمیر، چندی گڑھ,0.03247944500462281
خاص طور پر انٹرویوز کی وجہ سے معروف و متنازع رپوٹر,0.03229377985301928
اسی طرح ضمنی کرداروں میں اسفندیار، منوا، عورت، سہیلیاں,0.03225586738916324
خلافت امیرالمومنین سیدنا عمر بن خطاب رضی اللہ عنہ,0.032215620452146036
نیپچون کا اوسط درجہ حرارت منفی 200 ڈگری سینٹی گریڈ ہے۔,0.03206890037326131
رضوان بھائی تو اسے اتارتے اتارتے بوڑھے ہو جائیں گے,0.032060289867587584
بلامبالغہ علامہ اقبال ایک عظیم مفکر مانے جاتے ہیں۔,0.031888074561381
ریاض صاحب تشریف آوری اور حوصلہ افزائی کا بہت شکریہ ۔,0.03177736573037521
کچھ نہیں ہو گا اگر خال چلا جائے گا,0.030988682044811585
اور نہ ہی نثری نظم کو شاعری مانا جاتا ہے,0.030730427546799756
عمومی طور پر یہ سرخ رنگ کا ہوتا ہے۔,0.030450008977523507
گنتی میں اسے تین سو نینیانوے بولا جاتا ہے۔,0.030379612803219665
جنگل کا کل رقبہ 9000 ایکڑ پر مشتمل ہے۔,0.03000397818411774
ٹیگ : حسرت ، مولانا حسرت موہانی ، حسرت موہانی ، طارق شاہ,0.029939246397601666
ان اجرام فلکی کو کوئیپر کی پٹی کہا جاتا ہے۔,0.029673899221352596
اس کے بعد اجمل صاحب کا یہ پیغام موصول ہوا,0.0293614191038781
یہ تو لگ رہا ہے جیسے فرما رہے ہوں کہ,0.02915159117015417
ناروے یہاں سے 305 کلومیٹر شمال مشرق میں ہے۔,0.02896016274308505
منیر انور صاحب کی سمجھ میں آ گئی ہے,0.028931113153758792
مجاز جسکو اجازہ دیا جاتا ہے یا دیا گیا ہو,0.028821998072319763
جیسا کہ اللہ تعالی نے ان کے متعلق فرمایا ہے,0.028606703685269564
نئی معاشی پالیسیوں کی وجہ سے بیرونی سرمایہ کاری بڑھنے لگی۔,0.028502365503035188
حرکی توانائی کو درج ذیل مساوات سے ظاہر کیا جاتا ہے۔,0.028445124346621734
السلام علیکم نیرنگ بھائی اور بہت بہت مبارک ھو نیلم سس,0.02838060962174214
